time,seconds_elapsed,dBFS
1670358941399000000,0.11,-160
1670358941509000000,0.22,-148
1670358941626000000,0.336999755859375,-126
1670358941743000000,0.454,-106
1670358941860000000,0.571,-118
1670358941979000000,0.69,-119
1670358942103000000,0.814,-128
1670358942215000000,0.926,-94
1670358942330000000,1.040999755859375,-131
1670358942447000000,1.158,-142
1670358942565000000,1.276,-145
1670358942686000000,1.397000244140625,-122
1670358942795000000,1.506,-141
1670358942913000000,1.624,-146
1670358943029000000,1.74,-138
1670358943147000000,1.858,-119
1670358943263000000,1.974,-119
1670358943383000000,2.094,-121
1670358943498000000,2.208999755859375,-138
1670358943615000000,2.326,-117
1670358943731000000,2.442,-138
1670358943848000000,2.559,-138
1670358943965000000,2.676,-125
1670358944082000000,2.792999755859375,-122
1670358944202000000,2.912999755859375,-138
1670358944317000000,3.028,-141
1670358944433000000,3.144,-145
1670358944551000000,3.262,-150
1670358944667000000,3.378,-151
1670358944784000000,3.495,-150
1670358944901000000,3.612,-148
1670358945019000000,3.73,-137
1670358945135000000,3.846,-148
1670358945251000000,3.962,-127
1670358945370000000,4.080999755859375,-140
1670358945486000000,4.197000244140625,-127
1670358945603000000,4.314,-151
1670358945720000000,4.431,-151
1670358945837000000,4.548,-146
1670358945954000000,4.664999755859375,-146
1670358946070000000,4.781000244140625,-150
1670358946187000000,4.898,-125
1670358946304000000,5.015,-149
1670358946422000000,5.133000244140625,-147
1670358946538000000,5.248999755859375,-142
1670358946655000000,5.366,-150
1670358946784000000,5.495,-122
1670358946890000000,5.600999755859375,-150
1670358947005000000,5.716,-140
1670358947111000000,5.822,-151
1670358947223000000,5.934,-130
1670358947340000000,6.051,-142
1670358947457000000,6.168,-122
1670358947574000000,6.285000244140625,-150
1670358947690000000,6.400999755859375,-133
1670358947807000000,6.518,-138
1670358947908000000,6.619,-149
1670358948026000000,6.736999755859375,-133
1670358948142000000,6.853000244140625,-140
1670358948259000000,6.97,-145
1670358948377000000,7.088,-149
1670358948493000000,7.204,-146
1670358948611000000,7.322,-121
1670358948727000000,7.438,-142
1670358948843000000,7.554,-147
1670358948960000000,7.671,-141
1670358949078000000,7.789000244140625,-142
1670358949194000000,7.904999755859375,-144
1670358949311000000,8.022,-147
1670358949434000000,8.144999755859375,-147
1670358949546000000,8.256999755859376,-146
1670358949663000000,8.374,-148
1670358949780000000,8.491,-110
1670358949898000000,8.608999755859376,-102
1670358950014000000,8.725000244140626,-119
1670358950131000000,8.842,-110
1670358950248000000,8.959,-128
1670358950365000000,9.076,-126
1670358950483000000,9.194,-95
1670358950600000000,9.311,-132
1670358950717000000,9.428,-128
1670358950834000000,9.544999755859376,-131
1670358950951000000,9.662,-142
1670358951073000000,9.784,-139
1670358951185000000,9.896,-106
1670358951301000000,10.012,-110
1670358951419000000,10.13,-113
1670358951537000000,10.248,-115
1670358951655000000,10.366,-119
1670358951771000000,10.482,-138
1670358951887000000,10.598,-130
1670358952003000000,10.714,-121
1670358952118000000,10.829000244140625,-139
1670358952235000000,10.946,-140
1670358952352000000,11.063,-140
1670358952469000000,11.18,-142
1670358952586000000,11.296999755859375,-144
1670358952707000000,11.418,-142
1670358952822000000,11.533000244140625,-139
1670358952956000000,11.667,-135
1670358953073000000,11.784,-139
1670358953187000000,11.898,-144
1670358953304000000,12.015,-142
1670358953422000000,12.133000244140625,-143
1670358953541000000,12.252,-147
1670358953657000000,12.368,-151
1670358953773000000,12.484,-151
1670358953889000000,12.6,-149
1670358954007000000,12.718,-139
1670358954124000000,12.835,-146
1670358954240000000,12.951,-142
1670358954357000000,13.068,-143
1670358954473000000,13.184,-144
1670358954590000000,13.301000244140624,-137
1670358954708000000,13.419,-142
1670358954826000000,13.536999755859375,-140
1670358954942000000,13.653000244140625,-144
1670358955058000000,13.768999755859374,-147
1670358955159000000,13.87,-149
1670358955276000000,13.987,-142
1670358955394000000,14.104999755859374,-142
1670358955522000000,14.232999755859375,-129
1670358955627000000,14.338,-147
1670358955743000000,14.454,-150
1670358955861000000,14.572,-149
1670358955977000000,14.688,-138
1670358956094000000,14.805000244140626,-142
1670358956211000000,14.922,-145
1670358956328000000,15.039,-144
1670358956447000000,15.158,-146
1670358956562000000,15.272999755859376,-144
1670358956682000000,15.392999755859375,-149
1670358956799000000,15.51,-151
1670358956913000000,15.624,-143
1670358957032000000,15.743,-146
1670358957148000000,15.859,-146
1670358957266000000,15.976999755859374,-150
1670358957382000000,16.093000244140626,-148
1670358957500000000,16.211,-147
1670358957618000000,16.328999755859375,-147
1670358957734000000,16.445000244140626,-146
1670358957850000000,16.560999755859374,-145
1670358957968000000,16.679,-125
1670358958083000000,16.794,-74
1670358958200000000,16.911,-99
1670358958318000000,17.029000244140626,-115
1670358958435000000,17.146,-108
1670358958554000000,17.264999755859375,-92
1670358958671000000,17.382,-70
1670358958787000000,17.498,-117
1670358958903000000,17.614,-113
1670358959020000000,17.731,-106
1670358959137000000,17.848,-85
1670358959253000000,17.964,-112
1670358959371000000,18.082,-125
1670358959487000000,18.198,-134
1670358959612000000,18.323,-134
1670358959724000000,18.435,-139
1670358959838000000,18.549000244140625,-138
1670358959959000000,18.67,-135
1670358960070000000,18.781000244140625,-139
1670358960188000000,18.899,-141
1670358960304000000,19.015,-131
1670358960421000000,19.132,-121
1670358960539000000,19.25,-109
1670358960656000000,19.367,-135
1670358960774000000,19.485000244140625,-135
1670358960891000000,19.602,-139
1670358961007000000,19.718,-136
1670358961125000000,19.836,-142
1670358961244000000,19.955,-142
1670358961364000000,20.075,-145
1670358961474000000,20.184999755859376,-150
1670358961592000000,20.303,-153
1670358961716000000,20.427,-122
1670358961827000000,20.538,-156
1670358961943000000,20.654,-158
1670358962062000000,20.773000244140626,-156
1670358962177000000,20.888,-155
1670358962295000000,21.006,-153
1670358962414000000,21.125000244140626,-153
1670358962528000000,21.239,-153
1670358962646000000,21.357000244140625,-155
1670358962761000000,21.472,-155
1670358962879000000,21.59,-155
1670358962996000000,21.707,-158
1670358963111000000,21.822,-147
1670358963229000000,21.94,-155
1670358963347000000,22.058,-151
1670358963464000000,22.175,-155
1670358963579000000,22.29,-158
1670358963696000000,22.407,-156
1670358963813000000,22.524,-156
1670358963943000000,22.654,-159
1670358964050000000,22.760999755859373,-151
1670358964164000000,22.875,-158
1670358964280000000,22.991,-155
1670358964397000000,23.108,-155
1670358964514000000,23.224999755859375,-155
1670358964632000000,23.343,-153
1670358964750000000,23.461000244140624,-151
1670358964882000000,23.592999755859374,-152
1670358964982000000,23.693000244140624,-158
1670358965099000000,23.81,-156
1670358965216000000,23.927,-158
1670358965333000000,24.044,-150
1670358965451000000,24.162,-153
1670358965567000000,24.278,-150
1670358965695000000,24.406,-144
1670358965801000000,24.512,-155
1670358965919000000,24.63,-144
1670358966035000000,24.746,-146
1670358966152000000,24.863,-156
1670358966270000000,24.981000244140624,-156
1670358966386000000,25.096999755859375,-150
1670358966503000000,25.214,-153
1670358966620000000,25.331,-156
1670358966739000000,25.45,-155
1670358966856000000,25.567,-153
1670358966972000000,25.683,-158
1670358967090000000,25.800999755859376,-153
1670358967205000000,25.916,-150
1670358967322000000,26.032999755859375,-148
1670358967438000000,26.149000244140623,-126
1670358967555000000,26.266,-124
1670358967672000000,26.383,-124
1670358967792000000,26.503,-86
1670358967909000000,26.62,-105
1670358968025000000,26.736,-5
1670358968140000000,26.851,-40
1670358968257000000,26.968,-63
1670358968376000000,27.087,-75
1670358968492000000,27.203,-92
1670358968609000000,27.32,-100
1670358968726000000,27.437000244140624,-97
1670358968844000000,27.555,-92
1670358968963000000,27.674,-103
1670358969076000000,27.787,-107
1670358969193000000,27.904,-114
1670358969310000000,28.021000244140627,-116
1670358969427000000,28.138,-122
1670358969545000000,28.256,-115
1670358969663000000,28.374,-124
1670358969777000000,28.488,-125
1670358969896000000,28.607,-127
1670358970012000000,28.723,-128
1670358970129000000,28.84,-132
1670358970246000000,28.957000244140627,-125
1670358970363000000,29.074,-124
1670358970481000000,29.192,-127
1670358970599000000,29.31,-132
1670358970715000000,29.426,-130
1670358970831000000,29.542,-130
